ra,hd,hr,gl,bf,dec,proper,dist,mag,ci,spect,con
307.828395,195774.0,7851.0,,46Ome2Cyg,49.220296999999995,,122.399,5.44,#FDC793,M2III,Cygnus
307.87668,196502.0,7879.0,,73    Dra,74.954619,,121.3592,5.18,#D5E1FF,A0p...,Draco
308.098725,195564.0,7845.0,,,-9.853384,,24.4021,5.66,#FFEFE4,G3V,Capricornus
308.30320500000005,195810.0,7852.0,,2Eps Del,11.303263000000001,,101.3171,4.03,#BED3FE,B6III,Delphinus
308.32341,193721.0,7785.0,,,-80.964862,,160.0,5.76,#FFDBBA,G6/G8II,Octans
308.47578,196093.0,7866.0,,47    Cyg,35.250852,,847.4576,4.61,#FDC691,K2Ib comp,Cygnus
308.47851,196178.0,7870.0,,,46.693866,,132.2751,5.78,#BDD2FF,B9sp...,Cygnus
308.47945500000003,195569.0,7846.0,,Nu  Mic,-44.516048,,71.736,5.12,#FFE1C5,K0III,Microscopium
308.48767499999997,195943.0,7858.0,,3Eta Del,13.027255,,72.4113,5.39,#D4E0FF,A3IVs,Delphinus
308.82723,196180.0,7871.0,,4Zet Del,14.674213,,67.4764,4.64,#D8E3FF,A3V,Delphinus
308.895045,195627.0,7848.0,,Phi1Pav,-60.581749,,27.7932,4.75,#ECEFFF,F1III,Pavo
309.1818,196321.0,7873.0,,70    Aql,-2.549957,,398.4064,4.91,#FDC690,K5II,Aquila
309.26946,196504.0,7880.0,,27    Vul,26.461947,,97.371,5.59,#C4D6FD,B9V,Vulpecula
309.38724,196524.0,7882.0,,6Bet Del,14.595087,,30.931,3.64,#F7F3FB,F5IV,Delphinus
309.39173999999997,196171.0,7869.0,Gl 794.1,Alp Ind,-47.291502,,30.1477,3.11,#FFE1C5,K0III,Indus
309.396975,195961.0,7859.0,,Rho Pav,-61.529918,,58.1395,4.86,#F8F3F9,Fm delta Del,Pavo
309.454665,196544.0,7883.0,,5Iot Del,11.377676,,57.9374,5.42,#CFDDFE,A2V,Delphinus
309.577515,194612.0,7812.0,,,-81.289063,,195.6947,5.89,#FDC38A,K5III,Octans
309.58450500000004,196574.0,7884.0,,71    Aql,-1.105121,,103.4126,4.31,#FFE4CA,G8III SB,Aquila
309.63057,196724.0,7891.0,,29    Vul,21.201173999999998,,71.3776,4.81,#C6D7FD,A0V,Vulpecula
309.63297,196740.0,7894.0,,28    Vul,24.115958,,160.2564,5.06,#BED2FF,B5IV,Vulpecula
309.64579499999996,196753.0,7895.0,,,23.680494,,625.0,5.91,#FFE3CA,K0II-III+..,Vulpecula
309.68327999999997,196725.0,7892.0,,8The Del,13.315125,,617.284,5.69,#FECA98,K3Ib,Delphinus
309.74800500000003,196852.0,7904.0,,,30.334265000000002,,108.5776,5.68,#FFDDBD,K2III,Cygnus
309.7707,196775.0,7899.0,,,15.838199,,413.2231,5.99,#BDD2FF,B3V,Delphinus
309.782415,196755.0,7896.0,,7Kap Del,10.086203,,30.1205,5.07,#FFEEE3,G5IV+...,Delphinus
309.81799499999994,196662.0,7889.0,,14Tau Cap,-14.95476,,348.4321,5.24,#BED2FF,B7III,Capricornus
309.85371,196758.0,7897.0,,1    Aqr,0.48644499999999996,,71.4796,5.15,#FFDEBF,K1III,Aquarius
309.909525,196867.0,7906.0,,9Alp Del,15.912072,,77.821,3.77,#C4D6FD,B9V,Delphinus
310.010205,196378.0,7875.0,Gl 794.2,Phi2Pav,-60.548892,,24.6609,5.11,#FCF3F2,F8V,Pavo
310.012275,196777.0,7900.0,,15Ups Cap,-18.138659,,177.9359,5.15,#FDC48D,M1III,Capricornus
310.01323499999995,197139.0,7919.0,,,43.458878000000006,,137.5516,5.97,#FFD8B4,K2III,Cygnus
310.08261,196737.0,7893.0,,,-33.431843,,72.6216,5.47,#FFDBBA,K1III,Microscopium
310.1355,196857.0,7905.0,,,-16.12418,,100.4016,5.79,#FFE1C6,K0III,Capricornus
310.26058500000005,197177.0,7921.0,,49    Cyg,32.307287,,244.4988,5.53,#FFE7D2,G8IIb,Cygnus
310.34853,196917.0,7909.0,,,-31.598289,,138.8889,5.75,#FEC895,M1III,Microscopium
310.35798,197345.0,7924.0,,50Alp Cyg,45.280338,Deneb,432.9004,1.25,#D4E0FF,A2Ia,Cygnus
310.48542,197392.0,7926.0,,,41.716875,,335.5705,5.68,#C0D3FE,B8II-III,Cygnus
310.48778999999996,196519.0,7881.0,,Ups Pav,-66.76068199999999,,240.9639,5.14,#C3D6FD,B8Vvar,Pavo
310.510965,196051.0,7863.0,,Mu 1Oct,-76.180592,,101.1122,5.99,#F8F3F9,F4III-IV,Octans
310.55262,197511.0,7929.0,,51    Cyg,50.34003,,390.625,5.41,#C0D3FE,B2V,Cygnus
310.646325,199095.0,8002.0,,76    Dra,82.53115799999999,,108.1081,5.75,#C9D9FD,A0V,Draco
310.79583,197950.0,7945.0,,4    Cep,66.65744699999999,,42.7899,5.59,#E4EAFF,A8V,Cepheus
310.864725,197461.0,7928.0,,11Del Del,15.074581,,68.4463,4.43,#EDEFFF,A7IIIp d Del,Delphinus
311.00948999999997,197157.0,7920.0,NN 4158,Eta Ind,-51.920971,,24.1721,4.51,#EAEEFF,A6:var,Indus
311.091855,197939.0,7944.0,,,56.48840500000001,,336.7003,5.91,#FDC48E,M3III,Cepheus
311.21878499999997,197752.0,7939.0,,30    Vul,25.270617,,99.6016,4.92,#FFD8B4,K2III,Vulpecula
311.23971,197051.0,7913.0,,Bet Pav,-66.203212,,41.425,3.42,#DDE6FF,A5IV,Pavo
311.322165,198149.0,7957.0,Gl 807,3Eta Cep,61.838781999999995,,14.2653,3.41,#FFE5CE,K0IV,Cepheus
311.33817,198084.0,7955.0,Wo 9706,,57.579725,,27.2926,4.52,#FCF3F3,F8IV-V,Cepheus
311.41564500000004,197912.0,7942.0,,52    Cyg,30.719715,,61.6523,4.22,#FFDEC0,K0III,Cygnus
311.5239,197692.0,7936.0,Gl 805,16Psi Cap,-25.270898000000003,,14.6778,4.13,#F7F3FA,F5V,Capricornus
311.541615,197725.0,7937.0,,17    Cap,-21.514032,,80.8407,5.91,#D1DEFE,A1V,Capricornus
311.55267000000003,197989.0,7949.0,Gl 806.1A,53Eps Cyg,33.970256,Gienah,22.2916,2.48,#FFE0C3,K0III,Cygnus
311.58357,197630.0,7933.0,,,-39.199262,,99.5025,5.48,#C2D5FE,B8/B9V,Microscopium
311.66193,197963.0,7947.0,,12Gam1Del,16.124133999999998,,37.9507,5.15,#FAF3F6,A2Ia+...,Delphinus
311.66459999999995,197964.0,7948.0,,12Gam2Del,16.124295999999998,,38.7297,4.27,#FFDFC1,K1IV,Delphinus
311.794785,198134.0,7956.0,,,34.374123,,136.4256,4.93,#FED3AA,K3IIIvar,Cygnus
311.852235,198183.0,7963.0,,54Lam Cyg,36.490717,,235.8491,4.53,#C2D5FE,B6IV,Cygnus
311.88975,199437.0,8016.0,,,80.552262,,122.2494,5.36,#FFDAB7,K1III,Draco
311.91897,198001.0,7950.0,,2Eps Aqr,-9.495776,,63.6943,3.78,#C9D9FD,A1V,Aquarius
311.934315,198026.0,7951.0,,3    Aqr,-5.027701,,179.5332,4.43,#FDC58E,M3IIIvar,Aquarius
311.95138499999996,198069.0,7953.0,,13    Del,6.008209,,131.406,5.57,#C8D9FD,A0V,Delphinus
311.955375,198345.0,7969.0,,,47.831869,,179.8561,5.6,#FECB9B,K5III,Cygnus
312.12126,197937.0,7943.0,Gl 808.1,Iot Mic,-43.988544,,35.4233,5.11,#F2F1FE,F1IV,Microscopium
312.234555,198478.0,7977.0,,55    Cyg,46.114134,,714.2857,4.81,#FDF2EF,B3Ia,Cygnus
312.32338500000003,198174.0,7961.0,,,-25.78124,,295.858,5.86,#C3D5FE,B8II,Capricornus
312.325995,197635.0,7934.0,,Sig Pav,-68.776521,,92.5926,5.41,#FFDBBA,K0III,Pavo
