NOMBRE;ESTADO;MASA;DESCUBRIMIENTO;ACTUALIZACION;ESTADO_PUBLICACION;TIPO_DETECCION;RA;DEC;DISTANCIA_ESTRELLA;MASA_ESTRELLA
OGLE-2016-BLG-1469L b;Confirmed;13.6;2017;8/19/2017;Published in a refereed paper;Microlensing;271.94575;-26.2898889;4500;0.048
11 Com b;Confirmed;19.4;2008;8/21/2015;Published in a refereed paper;Radial Velocity;185.1791667;17.7927778;110.6;2.7
11 Oph b;Confirmed;21;2007;2/26/2016;Published in a refereed paper;Imaging;245.6041667;-24.0872222;145;0.0162
11 UMi b;Confirmed;10.5;2009;8/13/2009;Published in a refereed paper;Radial Velocity;229.275;71.8238889;119.5;1.8
14 And b;Confirmed;5.33;2008;8/27/2014;Published in a refereed paper;Radial Velocity;352.8208333;39.2361111;76.4;2.2
14 Her b;Confirmed;4.64;2002;8/27/2014;Published in a refereed paper;Radial Velocity;242.5958333;43.8216667;18.1;0.9
16 Cyg B b;Confirmed;1.68;1996;8/27/2014;Published in a refereed paper;Radial Velocity;295.4625;50.5175;21.41;1.01
18 Del b;Confirmed;10.3;2008;8/27/2014;Published in a refereed paper;Radial Velocity;314.6083333;10.8391667;73.1;2.3
1I/2017 U1;Confirmed;12.15;2017;11/29/2017;Published in a refereed paper;Imaging;0;0;0;1
1RXS 1609 b;Confirmed;14;2008;3/05/2015;Published in a refereed paper;Imaging;242.375;-21.0827778;145;0.73
1SWASP J1407 b;Confirmed;20;2012;10/29/2014;Published in a refereed paper;Primary Transit;211.95;-39.76194447;133;0.9
24 Sex b;Confirmed;1.99;2010;5/23/2014;Published in a refereed paper;Radial Velocity;155.8666667;0.9022222;74.8;1.54
24 Sex c;Confirmed;0.86;2010;5/23/2014;Published in a refereed paper;Radial Velocity;155.8666667;0.9022222;74.8;1.54
2M 0103-55 (AB) b;Confirmed;13;2013;2/23/2016;Published in a refereed paper;Imaging;15.9;-55.2656;47.2;0.4
2M 0122-24 b;Confirmed;20;2013;2/23/2016;Published in a refereed paper;Imaging;20.7125;-24.6142;36;0.4
2M 0219-39 b;Confirmed;13.9;2015;2/23/2016;Published in a refereed paper;Imaging;34.84166667;-39.42305557;39.4;0.11
2M 0441+23 b;Confirmed;7.5;2010;2/23/2016;Published in a refereed paper;Imaging;70.4375;23.0308333;140;0.02
2M 0746+20 b;Confirmed;30;2010;1/20/2012;Published in a refereed paper;Imaging;116.6791667;20.0088889;12.21;0.12
2M 1207-39;Confirmed;24;2001;3/09/2017;Published in a refereed paper;Imaging;181.8875;-39.5483333;52.4;0.025
2M 1207-39 b;Confirmed;4;2004;2/23/2016;Published in a refereed paper;Imaging;181.8875;-39.5483333;52.4;0.025
2M 1938+46 b;Confirmed;1.9;2015;5/06/2016;Published in a refereed paper;Pulsar;294.6375;46.0663889;38.7;0.6
2M 2140+16 b;Confirmed;20;2010;1/20/2012;Published in a refereed paper;Imaging;325.1208333;16.4216667;25;0.08
2M 2206-20 b;Confirmed;30;2010;1/20/2012;Published in a refereed paper;Imaging;331.5958333;-20.785;26.67;0.13
2M 2236+4751 b;Confirmed;12.5;2016;11/03/2016;Published in a refereed paper;Imaging;339.1041667;47.86194447;63;0.6
2M J2126-81 b;Confirmed;13.3;2016;2/23/2016;Published in a refereed paper;Imaging;321.3666667;-81.64111113;24.75;0.4
2M1450-7841 B b;Confirmed;0.04;2017;12/05/2017;Published in a refereed paper;Imaging;222.6708333;-78.69388891;75;0.04
2M1450-7841 b;Confirmed;0.04;2017;12/05/2017;Published in a refereed paper;Imaging;222.675;-78.69472225;75;40
2M2250+2325;Confirmed;30;2017;12/01/2017;Published in a refereed paper;Imaging;342.5625;23.42611113;41.5;27.07333333
2MASS J11193254 AB;Confirmed;3.7;2017;6/30/2017;Published in a refereed paper;Imaging;169.8855958;-11.62963891;40.45;14.14666667
30 Ari B b;Confirmed;9.88;2009;11/27/2009;Published in a refereed paper;Radial Velocity;39.2416667;24.6480556;39.4;1.22
38 Vir b;Confirmed;4.51;2016;2/20/2017;Published in a refereed paper;Primary Transit;193.2964895;-3.553099291;58.95;1.18
4 Uma b;Confirmed;7.1;2007;8/27/2014;Published in a refereed paper;Radial Velocity;130.0541667;64.3280556;78.5;1.234
42 Dra b;Confirmed;3.88;2009;3/23/2009;Published in a refereed paper;Radial Velocity;276.4958333;65.5636111;97.3;0.98
47 Uma b;Confirmed;2.53;1996;8/27/2014;Published in a refereed paper;Radial Velocity;164.8708333;40.4294444;13.97;1.03
47 Uma c;Confirmed;0.54;2001;8/27/2014;Published in a refereed paper;Radial Velocity;164.8708333;40.4294444;13.97;1.03
47 Uma d;Confirmed;1.64;2010;8/27/2014;Published in a refereed paper;Radial Velocity;164.8708333;40.4294444;13.97;1.03
51 Eri b;Confirmed;9.1;2015;4/13/2017;Published in a refereed paper;Imaging;69.40055143;-2.473548598;29.4;1.75
51 Peg b;Confirmed;0.47;1995;1/26/2017;Published in a refereed paper;Radial Velocity;344.3625;20.7686111;14.7;1.11
55 Cnc b;Confirmed;0.84;1996;6/11/2017;Published in a refereed paper;Radial Velocity;133.1541667;28.3338889;12.34;0.905
55 Cnc c;Confirmed;0.1784;2002;6/11/2017;Published in a refereed paper;Radial Velocity;133.1541667;28.3338889;12.34;0.905
55 Cnc d;Confirmed;3.86;2002;6/11/2017;Published in a refereed paper;Radial Velocity;133.1541667;28.3338889;12.34;0.905
55 Cnc e;Confirmed;0.02547;2004;6/11/2017;Published in a refereed paper;Primary Transit;133.1541667;28.3338889;12.34;0.905
55 Cnc f;Confirmed;0.1479;2007;6/11/2017;Published in a refereed paper;Radial Velocity;133.1541667;28.3338889;12.34;0.905
6 Lyn b;Confirmed;69;2008;8/27/2014;Published in a refereed paper;Radial Velocity;97.6958333;58.1627778;56.9;1.7
61 Vir b;Confirmed;0.016;2009;12/15/2009;Published in a refereed paper;Radial Velocity;199.6;-18.3111111;8.52;0.95
61 Vir c;Confirmed;0.0573;2009;12/15/2009;Published in a refereed paper;Radial Velocity;199.6;-18.3111111;8.52;0.95
61 Vir d;Confirmed;0.072;2009;12/15/2009;Published in a refereed paper;Radial Velocity;199.6;-18.3111111;8.52;0.95
7 CMa b;Confirmed;2.46;2011;10/19/2015;Published in a refereed paper;Radial Velocity;99.1708333;-19.2558333;19.75;1.52
70 Vir b;Confirmed;6.6;1996;12/29/2010;Published in a refereed paper;Radial Velocity;202.1083333;13.7866667;22;0.92
75 Cet b;Confirmed;3;2012;9/03/2012;Published in a refereed paper;Radial Velocity;38.0375;-1.035;81.5;2.49
8 Umi b;Confirmed;1.5;2015;10/01/2015;Published in a refereed paper;Radial Velocity;224.2;74.90083335;159.1;1.8
81 Cet b;Confirmed;5.3;2008;8/27/2014;Published in a refereed paper;Radial Velocity;39.425;-3.3961111;97.2;2.4
91 Aqr b;Confirmed;3.2;2003;8/21/2015;Published in a refereed paper;Radial Velocity;348.9708333;-9.0875;45.9;1.4
AB Pic b;Confirmed;13.5;2005;12/06/2010;Published in a refereed paper;Imaging;94.8;-58.0541667;47.3;1.15
AS 205 A b;Confirmed;19.25;2017;6/08/2017;Published in a refereed paper;Radial Velocity;242.8791667;-18.6402778;140;0.9
Aldebaran b;Confirmed;6.47;1998;5/15/2015;Published in a refereed paper;Radial Velocity;68.9791667;16.5091667;20.43;1.13
BD+03 2562 b;Confirmed;6.4;2017;6/30/2017;Published in a refereed paper;Radial Velocity;177.5648029;2.760131134;2618;1.14
BD+14 4559 b;Confirmed;1.47;2009;2/23/2016;Published in a refereed paper;Radial Velocity;318.4;14.6894444;50;0.86
BD+15 2375 b;Confirmed;1.06;2016;3/21/2016;Published in a refereed paper;Radial Velocity;176.4833334;14.61638891;774;1.08
BD+15 2940 b;Confirmed;1.11;2013;4/30/2013;Published in a refereed paper;Radial Velocity;240.0958;15.5469;585;1.1
BD+20 1790 b;Confirmed;6.37;2009;5/04/2017;Announced on a professional conference;Other;110.9333333;20.4141667;25.4;0.63
BD+20 2457 b;Confirmed;21.42;2009;2/23/2016;Published in a refereed paper;Radial Velocity;154.1875;19.8913889;200;2.8
BD+20 2457 c;Confirmed;12.47;2009;2/23/2016;Published in a refereed paper;Radial Velocity;154.1875;19.8913889;200;2.8
BD+20 274 c;Confirmed;4.2;2012;1/17/2013;Published in a refereed paper;Radial Velocity;25.9208333;21.005;176.05;0.8
BD+20 594 b;Confirmed;0.0513;2016;2/23/2016;Published in a refereed paper;Primary Transit;53.65000001;20.59916669;152.1;0.961
BD+24 4697 b;Confirmed;53;2016;2/10/2016;Published in a refereed paper;Radial Velocity;345.4125;25.78805558;48.8;0.75
BD+26 1888 b;Confirmed;26;2016;2/10/2016;Published in a refereed paper;Radial Velocity;135.6291667;25.88944447;38;0.76
BD+48 738 b;Confirmed;0.91;2011;2/23/2016;Submitted to a professional journal;Radial Velocity;40.7083333;49.5869444;32;0.74
BD+49 828 b;Confirmed;1.6;2015;7/26/2015;Published in a refereed paper;Radial Velocity;45.64166668;49.73000003;26;1.52
BD-06 1339 b;Confirmed;0.027;2013;5/04/2017;Published in a refereed paper;Radial Velocity;88.25;-5.9947;20;0.7
BD-06 1339 c;Confirmed;0.17;2013;5/04/2017;Published in a refereed paper;Radial Velocity;88.25;-5.9947;20;0.7
BD-06 1339 d;Confirmed;0.091;2014;5/04/2017;Published in a refereed paper;Radial Velocity;88.25;-5.9947;20;0.7
BD-08 2823 b;Confirmed;0.045;2009;2/23/2016;Submitted to a professional journal;Radial Velocity;150.2;-9.5166667;42.2;0.74
BD-08 2823 c;Confirmed;0.33;2009;2/23/2016;Submitted to a professional journal;Radial Velocity;150.2;-9.5166667;42.2;0.74
BD-10 3166 b;Confirmed;0.46;2000;2/24/2015;Published in a refereed paper;Radial Velocity;164.6166667;-10.7702778;66;0.99
BD-11 4672 b;Confirmed;0.53;2010;2/23/2016;Published in a refereed paper;Radial Velocity;278.3708333;-11.63611113;27.3;0.571
BD-17 63 b;Confirmed;5.1;2008;8/27/2014;Published in a refereed paper;Radial Velocity;7.1416667;-16.2263889;34.6;0.74
CD-35 2722 b;Confirmed;31;2011;2/23/2011;Published in a refereed paper;Imaging;92.33004292;-35.82533225;21.3;0.4
CFBDS 1458 ;Confirmed;25.2;2010;3/09/2017;Published in a refereed paper;Imaging;224.6208333;10.2286111;31.9;0.024
CFBDS 1458 b;Confirmed;10.5;2011;3/10/2017;Published in a refereed paper;Imaging;224.6208333;10.2286111;31.9;0.024
CFBDSIR J2149-0403;Confirmed;21;2017;6/30/2017;Published in a refereed paper;Imaging;327.4466667;-4.052472225;55.2;0.187
CHXR 73 b;Confirmed;12;2006;5/25/2014;Published in a refereed paper;Imaging;166.6208333;-77.6258333;91.8;0.35
CI Tau b;Confirmed;12.31;2016;3/07/2017;Published in a refereed paper;Radial Velocity;68.46666668;22.84166669;128.4;0.8
CT Cha b;Confirmed;17;2008;9/24/2008;Published in a refereed paper;Imaging;166.0375;-76.4552778;165;0.595
CVSO 30 b ;Confirmed;6.2;2012;6/12/2016;Published in a refereed paper;Primary Transit;81.2833333;1.5733333;330;0.39
CoRoT-1 b;Confirmed;1.03;2007;1/24/2014;Published in a refereed paper;Primary Transit;102.0791667;-3.1022222;460;0.95
CoRoT-10 b;Confirmed;2.75;2010;8/29/2014;Published in a refereed paper;Primary Transit;291.0625;0.7461111;345;0.89
CoRoT-11 b;Confirmed;2.33;2010;8/17/2014;Published in a refereed paper;Primary Transit;280.6875;5.9377778;560;1.27
CoRoT-12 b;Confirmed;0.917;2010;8/16/2014;Published in a refereed paper;Primary Transit;100.7666667;-1.2963889;1150;1.078
CoRoT-13 b;Confirmed;1.308;2010;8/16/2014;Published in a refereed paper;Primary Transit;102.7208333;-5.0863889;1310;1.09
CoRoT-14 b;Confirmed;7.6;2010;1/24/2014;Published in a refereed paper;Primary Transit;103.425;-5.5361111;1340;1.13
CoRoT-15 b;Confirmed;63.4;2010;9/23/2015;Published in a refereed paper;Primary Transit;97.11666668;6.186241673;1090;1.114
CoRoT-16 b;Confirmed;0.535;2010;1/24/2014;Published in a refereed paper;Primary Transit;278.525;-6.0025;840;1.098
CoRoT-17 b;Confirmed;2.43;2010;1/24/2014;Published in a refereed paper;Primary Transit;278.6958333;-6.6122222;920;1.04
CoRoT-18 b;Confirmed;3.47;2011;1/24/2014;Published in a refereed paper;Primary Transit;98.17083335;0.031388901;870;0.95
CoRoT-19 b;Confirmed;1.11;2011;1/24/2014;Published in a refereed paper;Primary Transit;97.03333334;0.170555562;800;1.21
CoRoT-2 b;Confirmed;3.31;2007;1/25/2014;Published in a refereed paper;Primary Transit;291.7791667;1.3838889;300;0.97
CoRoT-20 b;Confirmed;4.24;2011;7/10/2014;Published in a refereed paper;Primary Transit;97.730434;0.22692;1230;1.14
CoRoT-21 b;Confirmed;2.26;2011;1/24/2014;Published in a refereed paper;Primary Transit;101.05245;-0.29913;911;1.29
CoRoT-22 b;Confirmed;0.0383853;2011;8/28/2014;Announced on a professional conference;Primary Transit;280.6666667;6.225000011;592;1.099
CoRoT-23 b;Confirmed;2.8;2011;1/26/2014;Published in a refereed paper;Primary Transit;279.782615;4.3578;600;1.14
CoRoT-24 b;Confirmed;0.018;2011;7/08/2014;Submitted to a professional journal;Primary Transit;101.925;-3.719444461;600;0.91
CoRoT-24 c;Confirmed;0.088;2011;7/08/2014;Submitted to a professional journal;Primary Transit;101.925;-3.719444461;600;0.91
CoRoT-25 b;Confirmed;0.27;2012;5/21/2014;Published in a refereed paper;Primary Transit;280.6292;6.5139;1000;1.09
CoRoT-26 b;Confirmed;0.52;2012;5/27/2014;Published in a refereed paper;Primary Transit;279.75;6.97;1670;1.09
CoRoT-27 b;Confirmed;10.39;2012;7/10/2014;Published in a refereed paper;Primary Transit;278.4958;5.5386;1115;1.05
CoRoT-28 b;Confirmed;0.484;2012;8/17/2015;Published in a refereed paper;Primary Transit;278.6875;5.5739;560;1.01
CoRoT-29 b;Confirmed;0.85;2012;4/27/2015;Published in a refereed paper;Primary Transit;278.9042;6.4797;765;0.976
CoRoT-3 b;Confirmed;21.77;2008;7/08/2013;Published in a refereed paper;Primary Transit;292.0541667;0.1219444;680;1.41
CoRoT-30 b;Confirmed;2.84;2017;12/08/2017;Published in a refereed paper;Primary Transit;277.6;6.835833352;960;0.98
CoRoT-31 b;Confirmed;0.84;2017;12/08/2017;Published in a refereed paper;Primary Transit;94.82083334;-4.422222235;2190;1.25
CoRoT-32 b;Confirmed;0.15;2017;9/13/2017;Published in a refereed paper;Primary Transit;100.1958333;9.257500011;1742.5;1.09
CoRoT-33 b;Confirmed;59.2;2015;8/25/2015;Published in a refereed paper;Primary Transit;279.6416667;5.624722241;1295;0.86
CoRoT-4 b;Confirmed;0.72;2008;6/05/2013;Published in a refereed paper;Primary Transit;102.1958333;-0.6727778;847.5;1.1
CoRoT-5 b;Confirmed;0.467;2008;5/22/2014;Published in a refereed paper;Primary Transit;101.2791667;0.8152778;400;1
CoRoT-6 b;Confirmed;2.96;2009;6/05/2013;Published in a refereed paper;Primary Transit;281.075;6.6633333;275;1.055
CoRoT-7 b;Confirmed;0.0149;2009;6/11/2017;Published in a refereed paper;Primary Transit;100.9541667;-1.0627778;150;0.93
CoRoT-7 c;Confirmed;0.04266;2009;6/11/2017;Published in a refereed paper;Radial Velocity;100.9541667;-1.0627778;150;0.93
CoRoT-8 b;Confirmed;0.215838656;2010;8/16/2014;Published in a refereed paper;Primary Transit;291.5875;1.4266667;380;0.88
CoRoT-9 b;Confirmed;0.84;2010;7/08/2017;Published in a refereed paper;Primary Transit;280.7875;6.2041667;460;0.99
DE0823-49 b;Confirmed;31.5;2013;6/01/2015;Published in a refereed paper;Imaging;125.7625;-48.79972222;20.69;0.045
DH Tau b;Confirmed;11;2005;3/08/2011;Published in a refereed paper;Imaging;67.425;26.5494444;47.752;0.37
DP Leo b;Confirmed;6.05;2009;11/18/2010;Published in a refereed paper;Pulsar;169.3166667;17.9613889;74.814;0.69
DW Lyn b;Confirmed;5.58;2013;2/19/2016;Published in a refereed paper;Radial Velocity;106.7908625;60.64725836;101.876;0.665
DW Uma b;Confirmed;10.06;2016;12/23/2016;Published in a refereed paper;Other;158.4708334;58.78194447;128.938;0.64
EPC 212069861 b;Confirmed;6.7193;2017;10/26/2017;Published in a refereed paper;Primary Transit;134.4442083;21.45355279;156;0.615
EPIC 201128338 b;Confirmed;3.3786;2017;10/26/2017;Published in a refereed paper;Primary Transit;181.6328;-5.827411136;112;0.654
EPIC 201295312 b;Confirmed;0.0379;2016;2/08/2016;Published in a refereed paper;Primary Transit;174.0125;-2.520833347;116.6666667;1.13
EPIC 201445392 c;Confirmed;0.491933333;2015;12/07/2015;Submitted to a professional journal;Primary Transit;169.7936667;-0.284388895;121.3333333;0.79
EPIC 201598502 b;Confirmed;0.945966667;2017;10/26/2017;Published in a refereed paper;Primary Transit;183.8091917;2.020952782;126;0.512
EPIC 201637175 b;Confirmed;1.4;2015;7/27/2015;Published in a refereed paper;Primary Transit;169.4833334;2.618611125;225;0.6
EPIC 201713348 b;Confirmed;1.228375;2015;6/08/2016;Published in a refereed paper;Primary Transit;169.45;3.866388919;223.125;0.8
EPIC 201713348 c;Confirmed;1.05675;2015;6/08/2016;Published in a refereed paper;Primary Transit;169.45;3.866388919;221.25;0.8
EPIC 203826436 b;Confirmed;0.885125;2015;6/09/2016;Published in a refereed paper;Primary Transit;243.45;-24.78694446;219.375;0.9
EPIC 203826436 c;Confirmed;0.7135;2015;6/09/2016;Published in a refereed paper;Primary Transit;243.45;-24.78694446;217.5;0.9
EPIC 203826436 d;Confirmed;0.541875;2015;6/09/2016;Published in a refereed paper;Primary Transit;243.45;-24.78694446;215.625;0.9
EPIC 204221263 b;Confirmed;0.37025;2016;6/13/2016;Published in a refereed paper;Primary Transit;240.0333333;-23.18916668;213.75;1.07
EPIC 204221263 c;Confirmed;0.198625;2016;6/13/2016;Published in a refereed paper;Primary Transit;240.0333333;-23.18916668;211.875;1.07
EPIC 210894022 b;Confirmed;0.027;2017;8/18/2017;Published in a refereed paper;Radial Velocity;59.88975418;21.29868613;210;0.89
EPIC 211331236 b;Confirmed;0.051666667;2017;10/26/2017;Published in a refereed paper;Primary Transit;133.8556542;10.46910279;100;0.532
EPIC 211331236 c;Confirmed;0.076333333;2017;10/26/2017;Published in a refereed paper;Primary Transit;133.8556542;10.46910279;100;0.532
EPIC 211391664 b;Confirmed;0.101;2016;8/04/2016;Published in a refereed paper;Primary Transit;126.4882875;11.51114446;435;1.074
EPIC 211418729 b;Confirmed;1.85;2017;8/27/2017;Published in a refereed paper;Primary Transit;127.8829625;11.92226391;481;0.832
EPIC 211442297 b;Confirmed;0.84;2017;8/27/2017;Published in a refereed paper;Primary Transit;126.5534458;12.28193613;417;0.831
EPIC 211822797 b;Confirmed;0.84;2016;9/07/2016;Published in a refereed paper;Primary Transit;130.4103542;17.64000557;304.6666667;0.61
EPIC 211913977 b;Confirmed;0.84;2016;9/07/2016;Published in a refereed paper;Primary Transit;130.3440875;18.93387502;192.3333333;0.8
EPIC 211924657 b;Confirmed;0.84;2017;10/26/2017;Published in a refereed paper;Primary Transit;130.0267833;19.09291112;80;0.358
EPIC 211969807 b;Confirmed;0.84;2016;9/07/2016;Published in a refereed paper;Primary Transit;129.6367542;19.7738278;78.5;0.51
EPIC 211970147 b;Confirmed;0.84;2016;9/07/2016;Published in a refereed paper;Primary Transit;130.0560458;19.77881114;77;0.77
EPIC 211990866 b;Confirmed;0.84;2016;9/07/2016;Published in a refereed paper;Primary Transit;129.6012583;20.1060639;75.5;1.18
EPIC 212006344 b;Confirmed;0.84;2017;10/26/2017;Published in a refereed paper;Primary Transit;126.4763459;20.35957779;74;0.644
EPIC 213715787 b;Confirmed;0.84;2017;10/26/2017;Published in a refereed paper;Primary Transit;293.83319;-28.497833;88;0.583
EPIC 216468514 b;Confirmed;0.84;2016;2/21/2017;Published in a refereed paper;Primary Transit;284.985375;-22.29340279;194;1.3
EPIC 219388192 b;Confirmed;36.5;2016;10/28/2016;Published in a refereed paper;Primary Transit;289.3916667;-16.87166669;300;0.99
EPIC 220194974 b;Confirmed;27.695;2017;10/26/2017;Published in a refereed paper;Primary Transit;14.51782083;-0.193155567;121;0.65
EPIC 220194974 c;Confirmed;18.89;2017;10/26/2017;Published in a refereed paper;Primary Transit;14.51782083;-0.193155567;121;0.65
EPIC 220194974 d;Confirmed;10.085;2017;10/26/2017;Published in a refereed paper;Primary Transit;14.51782083;-0.193155567;121;0.65
EPIC 220504338;Confirmed;1.28;2016;11/24/2016;Published in a refereed paper;Primary Transit;19.45000002;6.702222238;553.4;1.007
EPIC 220522664 b;Confirmed;1.21475;2017;10/26/2017;Published in a refereed paper;Primary Transit;9.821900006;7.277100014;118;0.595
EPIC 220598331 b;Confirmed;1.1495;2017;10/26/2017;Published in a refereed paper;Primary Transit;18.34417501;8.987538912;110;0.457
EPIC 220621087 b;Confirmed;1.08425;2017;10/26/2017;Published in a refereed paper;Primary Transit;19.304525;9.501380567;62.7;0.44
EPIC 228735255 b;Confirmed;1.019;2017;6/25/2017;Published in a refereed paper;Primary Transit;188.1373333;-9.607638907;340.24;1.005
EPIC 228754001 b;Confirmed;0.495;2017;7/12/2017;Published in a refereed paper;Primary Transit;182.1664167;-8.747175026;236.62;1.19
EPIC 228934525 b;Confirmed;0.335566667;2017;10/26/2017;Published in a refereed paper;Primary Transit;189.0015167;-2.669480571;133;0.672
EPIC 228934525 c;Confirmed;0.176133333;2017;10/26/2017;Published in a refereed paper;Primary Transit;189.0015167;-2.669480571;133;0.672
EPIC 246393474 b;Confirmed;0.0167;2017;11/08/2017;Published in a refereed paper;Primary Transit;350.9166667;-1.189166675;59;0.662
EPIC-206011691 b;Confirmed;2.262525;2015;8/28/2015;Published in a refereed paper;Primary Transit;340.3037083;-14.48898613;65;0.64
EPIC-206011691 c;Confirmed;4.50835;2015;8/28/2015;Published in a refereed paper;Primary Transit;340.3037083;-14.48898613;65;0.64
EPIC-210490365 b;Confirmed;6.754175;2015;12/10/2015;Published in a refereed paper;Primary Transit;63.275;15.24777779;45.7;0.294
FL Lyr b;Confirmed;9;2015;10/11/2017;Published in a refereed paper;Pulsar;288.0208333;46.32416668;138;2.2
FU Tau b;Confirmed;15;2009;9/19/2011;Published in a refereed paper;Imaging;65.8958333;25.0508333;140;0.05
FW Tau b;Confirmed;10;2013;12/02/2013;Published in a refereed paper;Imaging;67.37500001;26.28138891;145;0.26
Fomalhaut b;Confirmed;3;2008;5/22/2014;Published in a refereed paper;Imaging;344.4125;-29.6222222;7.704;1.92
GJ 1132 b;Confirmed;0.0051;2015;7/15/2016;Published in a refereed paper;Primary Transit;153.7166667;-47.15666668;12.04;0.181
GJ 1214 b;Confirmed;0.020325331;2009;5/21/2014;Published in a refereed paper;Primary Transit;258.8291667;4.9638889;13;0.15
GJ 15 A b;Confirmed;0.016832898;2014;2/23/2016;Published in a refereed paper;Radial Velocity;4.595355508;44.02295228;3.587;0.375
GJ 160.2 b;Confirmed;0.032092628;2014;5/25/2014;Published in a refereed paper;Radial Velocity;61.64517234;-19.14687801;9.2935;0.69
GJ 163 b;Confirmed;0.0334;2012;2/23/2016;Published in a refereed paper;Radial Velocity;62.3167;-53.3736;15;0.4
GJ 163 c;Confirmed;0.02285;2012;9/12/2016;Published in a refereed paper;Radial Velocity;62.3167;-53.3736;15;0.4
GJ 163 d;Confirmed;0.06945;2013;2/23/2016;Published in a refereed paper;Radial Velocity;62.3167;-53.3736;15;0.4
GJ 176 b;Confirmed;0.0265;2007;12/17/2010;Submitted to a professional journal;Radial Velocity;70.7333333;18.9580556;9.42;0.49
GJ 179 b;Confirmed;0.82;2010;2/23/2016;Published in a refereed paper;Radial Velocity;73.025;6.4766667;12.3;0.357
GJ 180 b;Confirmed;0.02611459;2014;5/25/2014;Published in a refereed paper;Radial Velocity;73.45824902;-17.77341391;10.88333333;0.43
GJ 180 c;Confirmed;0.020136551;2014;5/25/2014;Published in a refereed paper;Radial Velocity;73.45824902;-17.77341391;9.466666667;0.43
GJ 229 A b;Confirmed;0.100682755;2014;3/09/2017;Published in a refereed paper;Radial Velocity;92.64423055;-21.86464217;8.05;0.58
GJ 229 B;Confirmed;35;1995;3/09/2017;Published in a refereed paper;Imaging;92.64423055;-21.86464217;6.633333333;0.58
GJ 27.1 b;Confirmed;0.040902369;2014;5/25/2014;Published in a refereed paper;Radial Velocity;9.995107978;-43.74677819;5.216666667;0.53
GJ 273 b;Confirmed;0.00909;2017;3/21/2017;Published in a refereed paper;Radial Velocity;111.8520417;5.225777789;3.8;0.29
GJ 273 c;Confirmed;0.00371;2017;3/21/2017;Published in a refereed paper;Radial Velocity;111.8520417;5.225777789;3.8;0.29
GJ 3021 b;Confirmed;3.37;2000;7/29/2016;Published in a refereed paper;Radial Velocity;4.05;-79.8511111;17.62;0.9
GJ 3138 b;Confirmed;0.0132;2017;3/21/2017;Published in a refereed paper;Radial Velocity;32.29541667;-16.33958335;16.99;0.681
GJ 3138 c;Confirmed;0.0056;2017;3/21/2017;Published in a refereed paper;Radial Velocity;32.29541667;-16.33958335;16.36;0.681
GJ 3138 d;Confirmed;0.033;2017;3/21/2017;Published in a refereed paper;Radial Velocity;32.29541667;-16.33958335;15.73;0.681
GJ 317 b;Confirmed;2.56;2007;8/01/2015;Submitted to a professional journal;Radial Velocity;130.2458333;-23.4563889;15.1;0.42
GJ 317 c;Confirmed;2;2007;10/16/2015;Published in a refereed paper;Radial Velocity;130.2458333;-23.4563889;15.1;0.42
GJ 328 b;Confirmed;2.3;2013;8/29/2014;Published in a refereed paper;Radial Velocity;133.7833;1.54901111;19.8;0.69
GJ 3293 b;Confirmed;0.07406;2014;3/18/2017;Published in a refereed paper;Radial Velocity;67.15000001;-25.16916667;17.9;0.42
GJ 3293 c;Confirmed;0.06636;2014;3/21/2017;Published in a refereed paper;Other;67.15000001;-25.16916667;17.9;0.42
GJ 3293 d;Confirmed;0.024;2014;3/17/2017;Published in a refereed paper;Radial Velocity;67.15000001;-25.16916667;17.9;0.42
GJ 3293 e;Confirmed;0.0103;2017;3/17/2017;Published in a refereed paper;Radial Velocity;67.15000001;-25.16916667;17.9;0.42
GJ 3323 b;Confirmed;0.00636;2017;3/21/2017;Published in a refereed paper;Radial Velocity;75.48958335;-6.946083362;19.63333333;0.164
GJ 3323 c;Confirmed;0.00727;2017;3/21/2017;Published in a refereed paper;Radial Velocity;75.48958335;-6.946083362;21.36666667;0.164
GJ 3341 b;Confirmed;0.35717;2014;12/17/2014;Published in a refereed paper;Radial Velocity;78.94583335;-31.29611113;23.1;0.47
GJ 3470 b;Confirmed;0.043753329;2012;11/05/2013;Published in a refereed paper;Primary Transit;119.775;15.3916667;29.28;0.539
GJ 3634 b;Confirmed;0.026;2011;9/10/2012;Published in a refereed paper;Radial Velocity;164.6458333;-31.1441667;19.8;0.45
GJ 3942 b;Confirmed;0.0225;2017;9/21/2017;Published in a refereed paper;Radial Velocity;242.2625;52.94388892;16.93;0.63
GJ 3998 b;Confirmed;0.00777;2016;7/14/2016;Published in a refereed paper;Radial Velocity;259.0041667;11.05833334;17.8;0.5
GJ 3998 c;Confirmed;0.0197;2016;7/19/2016;Published in a refereed paper;Radial Velocity;259.0041667;11.05833334;17.8;0.5
GJ 422 b;Confirmed;0.031148727;2014;5/25/2014;Published in a refereed paper;Radial Velocity;169.0008563;-56.45233364;13.42;0.35
GJ 433 b;Confirmed;0.01667;2009;5/25/2014;Announced on a professional conference;Radial Velocity;173.8625;-32.54;9.04;0.48
GJ 433 c;Confirmed;0.14;2012;5/25/2014;Submitted to a professional journal;Radial Velocity;173.8625;-32.54;9.04;0.48
