NOMBRE;ESTADO;MASA;DESCUBRIMIENTO;ACTUALIZACION;ESTADO_PUBLICACION;TIPO_DETECCION;RA;DEC;DISTANCIA_ESTRELLA;MASA_ESTRELLA
Kepler-847 b;Confirmed;0.045043478;2016;5/12/2016;Announced on a website;Primary Transit;283.504798;49.451015;529;0.83
Kepler-848 b;Confirmed;0.045528986;2016;5/12/2016;Announced on a website;Primary Transit;293.288273;48.811619;797;1.01
Kepler-849 b;Confirmed;0.046014493;2016;5/12/2016;Announced on a website;Primary Transit;290.851779;48.521339;747;1.23
Kepler-85 b;Confirmed;0.0465;2013;9/24/2013;Published in a refereed paper;Primary Transit;290.975;45.2903;904.6;0.95
Kepler-85 c;Confirmed;0.059;2013;9/24/2013;Published in a refereed paper;Primary Transit;290.975;45.2903;1062.2;0.95
Kepler-85 d;Confirmed;0.099041667;2014;3/06/2014;Announced on a website;Primary Transit;290.975;45.2903;1219.8;0.95
Kepler-85 e;Confirmed;0.139083333;2014;3/06/2014;Announced on a website;Primary Transit;290.975;45.2903;1377.4;0.95
Kepler-850 b;Confirmed;0.179125;2016;5/12/2016;Announced on a website;Primary Transit;293.084462;48.57539;1535;1.06
Kepler-851 b;Confirmed;0.219166667;2016;5/12/2016;Announced on a website;Primary Transit;294.680286;49.14016;869;0.89
Kepler-852 b;Confirmed;0.259208333;2016;5/12/2016;Announced on a website;Primary Transit;297.391593;48.560692;854;1.19
Kepler-853 b;Confirmed;0.29925;2016;5/12/2016;Announced on a website;Primary Transit;283.936824;49.110325;610;1.3
Kepler-854 b;Confirmed;0.339291667;2016;5/12/2016;Announced on a website;Primary Transit;293.351293;43.13464;741;1.17
Kepler-855 b;Confirmed;0.379333333;2016;5/12/2016;Announced on a website;Primary Transit;295.09499;43.537586;1043;1.03
Kepler-856 b;Confirmed;0.419375;2016;5/12/2016;Announced on a website;Primary Transit;289.603836;46.314953;1175;0.96
Kepler-857 b;Confirmed;0.459416667;2016;5/12/2016;Announced on a website;Primary Transit;294.632389;43.400467;1039;0.99
Kepler-858 b;Confirmed;0.499458333;2016;5/12/2016;Announced on a website;Primary Transit;288.848631;51.209049;296;0.96
Kepler-859 b;Confirmed;0.5395;2016;5/12/2016;Announced on a website;Primary Transit;286.741873;43.190108;915;0.81
Kepler-86 b;Confirmed;0.579541667;2013;2/24/2016;Published in a refereed paper;Primary Transit;289.7625;51.9625;1105;0.94
Kepler-860 b;Confirmed;0.619583333;2016;5/12/2016;Announced on a website;Primary Transit;295.577265;46.254742;1295;1.04
Kepler-861 b;Confirmed;0.659625;2016;5/12/2016;Announced on a website;Primary Transit;292.353929;46.22628;806;0.82
Kepler-862 b;Confirmed;0.699666667;2016;5/12/2016;Announced on a website;Primary Transit;297.779266;46.492741;806;0.88
Kepler-863 b;Confirmed;0.739708333;2016;5/12/2016;Announced on a website;Primary Transit;297.664523;43.248962;1145;0.96
Kepler-864 b;Confirmed;0.77975;2016;5/12/2016;Announced on a website;Primary Transit;285.057092;46.320675;1573;1
Kepler-865 b;Confirmed;0.819791667;2016;5/12/2016;Announced on a website;Primary Transit;297.724283;43.527435;664;0.93
Kepler-866 b;Confirmed;0.859833333;2016;5/12/2016;Announced on a website;Primary Transit;290.122337;43.08556;690;0.75
Kepler-867 b;Confirmed;0.899875;2016;5/12/2016;Announced on a website;Primary Transit;287.285313;51.249981;824;0.92
Kepler-868 b;Confirmed;0.939916667;2016;5/12/2016;Announced on a website;Primary Transit;282.363512;46.67524;1269;0.93
Kepler-869 b;Confirmed;0.979958333;2016;5/12/2016;Announced on a website;Primary Transit;289.424591;50.994122;957;0.97
Kepler-87 b;Confirmed;1.02;2013;10/11/2013;Published in a refereed paper;Primary Transit;297.9167;46.965;1048.333333;1.1
Kepler-87 c;Confirmed;0.0201;2012;10/11/2013;Published in a refereed paper;Primary Transit;297.9167;46.965;1139.666667;1.1
Kepler-870 b;Confirmed;0.020761193;2016;5/12/2016;Announced on a website;Primary Transit;295.402544;50.478634;1231;1.01
Kepler-871 b;Confirmed;0.021422386;2016;5/12/2016;Announced on a website;Primary Transit;294.52711;43.36816;1695;1.11
Kepler-872 b;Confirmed;0.022083579;2016;5/12/2016;Announced on a website;Primary Transit;295.417461;43.60564;1114;1.05
Kepler-873 b;Confirmed;0.022744772;2016;5/12/2016;Announced on a website;Primary Transit;296.403212;51.271339;1397;1.18
Kepler-874 b;Confirmed;0.023405965;2016;5/12/2016;Announced on a website;Primary Transit;294.95686;43.014328;1072;1.09
Kepler-875 b;Confirmed;0.024067159;2016;5/12/2016;Announced on a website;Primary Transit;297.3013;43.141888;1244;1.06
Kepler-876 b;Confirmed;0.024728352;2016;5/12/2016;Announced on a website;Primary Transit;283.478199;43.383781;735;0.81
Kepler-877 b;Confirmed;0.025389545;2016;5/12/2016;Announced on a website;Primary Transit;289.859129;46.522667;572;0.85
Kepler-878 b;Confirmed;0.026050738;2016;5/12/2016;Announced on a website;Primary Transit;285.296197;46.603439;567;0.81
Kepler-879 b;Confirmed;0.026711931;2016;5/12/2016;Announced on a website;Primary Transit;295.806573;50.909798;772;1.02
Kepler-88 b;Confirmed;0.027373124;2013;9/14/2015;Published in a refereed paper;Primary Transit;291.15;40.6694;385;1.022
